,rank,salary,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,studfac,top10,r11_25,r26_40,r41_60
0,128,31400,8340,155,3.15,216,45,12,210,1,0,0,0,4.666667,0,0,0,0
1,104,33098,6980,160,3.5,256,44,113,190,0,1,0,0,4.318182,0,0,0,0
2,34,32870,16370,155,3.25,424,78,134,270,0,0,1,0,3.461539,0,0,1,0
3,49,35000,17566,157,3.2,329,136,89,277,0,0,1,0,2.036765,0,0,0,1
4,95,33606,8350,162,3.38,332,56,70,150,0,0,0,1,2.678571,0,0,0,0
5,98,31700,8350,161,3.4,311,40,29,156,0,0,0,1,3.9,0,0,0,0
6,124,30410,6020,155,3.16,220,40,61,151,0,1,0,0,3.775,0,0,0,0
7,157,30150,5986,152,3.12,230,45,60,149,0,1,0,0,3.311111,0,0,0,0
8,145,31300,4785,155,3.12,230,101,70,322,0,0,1,0,3.188119,0,0,0,0
9,91,33200,7680,160,3.66,157,44,128,70,0,1,0,0,1.590909,0,0,0,0
10,50,34900,17720,165,3.55,320,78,56,269,0,0,1,0,3.448718,0,0,0,1
11,23,55413,16160,163,3.42,470,128,115,381,0,0,1,0,2.976563,0,1,0,0
12,78,33750,6300,162,3.6,330,48,,153,0,0,0,1,3.1875,0,0,0,0
13,5,65000,11387,167,3.7,600,80,,269,0,0,0,1,3.3625,1,0,0,0
14,27,,12058,164,3.45,371,38,20,160,0,0,0,1,4.210526,0,0,1,0
15,19,62000,12478,163,3.55,542,114,107,419,0,0,0,1,3.675439,0,1,0,0
16,13,63000,12202,165,3.57,470,96,,350,0,0,0,1,3.645833,0,1,0,0
17,115,31300,15700,156,3.2,208,80,,375,0,0,0,1,4.6875,0,0,0,0
18,171,28500,11750,156,3.2,147,35,9,119,0,0,1,0,3.4,0,0,0,0
19,131,30100,12927,154,3.25,215,31,,262,1,0,0,0,8.451612,0,0,0,0
20,72,33650,16545,160,3.3,352,72,,255,0,0,1,0,3.541667,0,0,0,0
21,55,40325,16680,158,3.3,305,,93,220,1,0,0,0,,0,0,0,1
22,4,70000,19392,168,3.75,555,40,,178,1,0,0,0,4.45,1,0,0,0
23,90,32800,11268,162,3.37,339,51,152,134,1,0,0,0,2.627451,0,0,0,0
24,133,,10808,,,290,72,26,300,1,0,0,0,4.166667,0,0,0,0
25,65,35000,12537,164,3.31,280,62,,167,0,0,0,1,2.693548,0,0,0,0
